Name,Team,Year,Overall Pick
Victor Wembanyama,San Antonio Spurs,2023,1
Brandon Miller,Charlotte Hornets,2023,2
Scoot Henderson,Portland Trail Blazers,2023,3
Amen Thompson,Houston Rockets,2023,4
Ausar Thompson,Detroit Pistons,2023,5
Anthony Black,Orlando Magic,2023,6
Bilal Coulibaly,Indiana Pacers,2023,7
Jarace Walker,Washington Wizards,2023,8
Taylor Hendricks,Utah Jazz,2023,9
Cason Wallace,Dallas Mavericks,2023,10
Jett Howard,Orlando Magic,2023,11
Dereck Lively II,Oklahoma City Thunder,2023,12
Gradey Dick,Toronto Raptors,2023,13
Jordan Hawkins,New Orleans Pelicans,2023,14
Kobe Bufkin,Atlanta Hawks,2023,15
Keyonte George,Utah Jazz,2023,16
Jalen Hood-Schifino,Los Angeles Lakers,2023,17
Jaime Jaquez Jr.,Miami Heat,2023,18
Brandin Podziemski,Golden State Warriors,2023,19
Cam Whitmore,Houston Rockets,2023,20
Noah Clowney,Brooklyn Nets,2023,21
Dariq Whitehead,Brooklyn Nets,2023,22
Kris Murray,Portland Trail Blazers,2023,23
Olivier-Maxence Prosper,Sacramento Kings,2023,24
Marcus Sasser,Memphis Grizzlies,2023,25
Ben Sheppard,Indiana Pacers,2023,26
Nick Smith Jr.,Charlotte Hornets,2023,27
Brice Sensabaugh,Utah Jazz,2023,28
Julian Strawther,Indiana Pacers,2023,29
Kobe Brown,LA Clippers,2023,30
James Nnaji,Detroit Pistons,2023,31
Jalen Pickett,Indiana Pacers,2023,32
Leonard Miller,San Antonio Spurs,2023,33
Colby Jones,Charlotte Hornets,2023,34
Julian Phillips,Boston Celtics,2023,35
Andre Jackson Jr.,Orlando Magic,2023,36
Hunter Tyson,Oklahoma City Thunder,2023,37
Jordan Walsh,Sacramento Kings,2023,38
Mouhamed Gueye,Charlotte Hornets,2023,39
Maxwell Lewis,Denver Nuggets,2023,40
Amari Bailey,Charlotte Hornets,2023,41
Tristan Vukcevic,Washington Wizards,2023,42
Rayan Rupert,Portland Trail Blazers,2023,43
Sidy Cissoko,San Antonio Spurs,2023,44
GG Jackson,Memphis Grizzlies,2023,45
Seth Lundy,Atlanta Hawks,2023,46
Mojave King,Los Angeles Lakers,2023,47
Jordan Miller,LA Clippers,2023,48
Emoni Bates,Cleveland Cavaliers,2023,49
Keyontae Johnson,Oklahoma City Thunder,2023,50
Jalen Wilson,Brooklyn Nets,2023,51
Toumani Camara,Phoenix Suns,2023,52
Jaylen Clark,Minnesota Timberwolves,2023,53
Jalen Slawson,Sacramento Kings,2023,54
Isaiah Wong,Indiana Pacers,2023,55
Tarik Biberovic,Memphis Grizzlies,2023,56
Trayce Jackson-Davis,Washington Wizards,2023,57
Chris Livingston,Milwaukee Bucks,2023,58
Paolo Banchero,Orlando Magic,2022,1
Chet Holmgren,Oklahoma City Thunder,2022,2
Jabari Smith Jr.,Houston Rockets,2022,3
Keegan Murray,Sacramento Kings,2022,4
Jaden Ivey,Detroit Pistons,2022,5
Bennedict Mathurin,Indiana Pacers,2022,6
Shaedon Sharpe,Portland Trail Blazers,2022,7
Dyson Daniels,New Orleans Pelicans,2022,8
Jeremy Sochan,San Antonio Spurs,2022,9
Johnny Davis,Washington Wizards,2022,10
Ousmane Dieng,New York Knicks,2022,11
Jalen Williams,Oklahoma City Thunder,2022,12
Jalen Duren,Charlotte Hornets,2022,13
Ochai Agbaji,Cleveland Cavaliers,2022,14
Mark Williams,Charlotte Hornets,2022,15
AJ Griffin,Atlanta Hawks,2022,16
Tari Eason,Houston Rockets,2022,17
Dalen Terry,Chicago Bulls,2022,18
Jake LaRavia,Minnesota Timberwolves,2022,19
Malaki Branham,San Antonio Spurs,2022,20
Christian Braun,Denver Nuggets,2022,21
Walker Kessler,Memphis Grizzlies,2022,22
David Roddy,Philadelphia 76ers,2022,23
MarJon Beauchamp,Milwaukee Bucks,2022,24
Blake Wesley,San Antonio Spurs,2022,25
Wendell Moore Jr.,Dallas Mavericks,2022,26
Nikola Jovic,Miami Heat,2022,27
Patrick Baldwin Jr.,Golden State Warriors,2022,28
TyTy Washington Jr.,Memphis Grizzlies,2022,29
Peyton Watson,Oklahoma City Thunder,2022,30
Andrew Nembhard,Indiana Pacers,2022,31
Caleb Houstan,Orlando Magic,2022,32
Christian Koloko,Toronto Raptors,2022,33
Jaylin Williams,Oklahoma City Thunder,2022,34
Max Christie,Los Angeles Lakers,2022,35
Gabriele Procida,Portland Trail Blazers,2022,36
Jaden Hardy,Sacramento Kings,2022,37
Kennedy Chandler,San Antonio Spurs,2022,38
Khalifa Diop,Cleveland Cavaliers,2022,39
Bryce McGowens,Minnesota Timberwolves,2022,40
E.J. Liddell,New Orleans Pelicans,2022,41
Trevor Keels,New York Knicks,2022,42
Moussa Diabate,LA Clippers,2022,43
Ryan Rollins,Atlanta Hawks,2022,44
Josh Minott,Charlotte Hornets,2022,45
Ismael Kamagate,Detroit Pistons,2022,46
Vince Williams Jr.,Memphis Grizzlies,2022,47
Kendall Brown,Minnesota Timberwolves,2022,48
Isaiah Mobley,Cleveland Cavaliers,2022,49
Matteo Spagnolo,Minnesota Timberwolves,2022,50
Tyrese Martin,Golden State Warriors,2022,51
Karlo Matkovic,New Orleans Pelicans,2022,52
JD Davison,Boston Celtics,2022,53
Yannick Nzosa,Washington Wizards,2022,54
Gui Santos,Golden State Warriors,2022,55
Luke Travers,Cleveland Cavaliers,2022,56
Jabari Walker,Portland Trail Blazers,2022,57
Hugo Besson,Indiana Pacers,2022,58
Cade Cunningham,Detroit Pistons,2021,1
Jalen Green,Houston Rockets,2021,2
Evan Mobley,Cleveland Cavaliers,2021,3
Scottie Barnes,Toronto Raptors,2021,4
Jalen Suggs,Orlando Magic,2021,5
Josh Giddey,Oklahoma City Thunder,2021,6
Jonathan Kuminga,Golden State Warriors,2021,7
Franz Wagner,Orlando Magic,2021,8
Davion Mitchell,Sacramento Kings,2021,9
Ziaire Williams,New Orleans Pelicans,2021,10
James Bouknight,Charlotte Hornets,2021,11
Joshua Primo,San Antonio Spurs,2021,12
Chris Duarte,Indiana Pacers,2021,13
Moses Moody,Golden State Warriors,2021,14
Corey Kispert,Washington Wizards,2021,15
Alperen Sengun,Oklahoma City Thunder,2021,16
Trey Murphy III,Memphis Grizzlies,2021,17
Tre Mann,Oklahoma City Thunder,2021,18
Kai Jones,New York Knicks,2021,19
Jalen Johnson,Atlanta Hawks,2021,20
Keon Johnson,New York Knicks,2021,21
Isaiah Jackson,Los Angeles Lakers,2021,22
Usman Garuba,Houston Rockets,2021,23
Josh Christopher,Houston Rockets,2021,24
Quentin Grimes,LA Clippers,2021,25
Bones Hyland,Denver Nuggets,2021,26
Cam Thomas,Brooklyn Nets,2021,27
Jaden Springer,Philadelphia 76ers,2021,28
Day'Ron Sharpe,Phoenix Suns,2021,29
Santi Aldama,Utah Jazz,2021,30
Isaiah Todd,Milwaukee Bucks,2021,31
Jeremiah Robinson-Earl,New York Knicks,2021,32
Jason Preston,Orlando Magic,2021,33
Rokas Jokubaitis,Oklahoma City Thunder,2021,34
Herbert Jones,New Orleans Pelicans,2021,35
Miles McBride,Oklahoma City Thunder,2021,36
JT Thor,Detroit Pistons,2021,37
Ayo Dosunmu,Chicago Bulls,2021,38
Neemias Queta,Sacramento Kings,2021,39
Jared Butler,Sacramento Kings,2021,40
Joe Wieskamp,San Antonio Spurs,2021,41
Isaiah Livers,Detroit Pistons,2021,42
Greg Brown III,New Orleans Pelicans,2021,43
Kessler Edwards,Brooklyn Nets,2021,44
Juhann Begarin,Boston Celtics,2021,45
Dalano Banton,Toronto Raptors,2021,46
David Johnson,Toronto Raptors,2021,47
Sharife Cooper,Atlanta Hawks,2021,48
Marcus Zegarowski,Brooklyn Nets,2021,49
Filip Petrusev,Philadelphia 76ers,2021,50
Brandon Boston Jr.,Memphis Grizzlies,2021,51
Luka Garza,Detroit Pistons,2021,52
Charles Bassey,Philadelphia 76ers,2021,53
Sandro Mamukelashvili,Indiana Pacers,2021,54
Aaron Wiggins,Oklahoma City Thunder,2021,55
Scottie Lewis,Charlotte Hornets,2021,56
Balsa Koprivica,Charlotte Hornets,2021,57
Jericho Sims,New York Knicks,2021,58
RaiQuan Gray,Brooklyn Nets,2021,59
Georgios Kalaitzakis,Indiana Pacers,2021,60
Anthony Edwards,Minnesota Timberwolves,2020,1
James Wiseman,Golden State Warriors,2020,2
LaMelo Ball,Charlotte Hornets,2020,3
Patrick Williams,Chicago Bulls,2020,4
Isaac Okoro,Cleveland Cavaliers,2020,5
Onyeka Okongwu,Atlanta Hawks,2020,6
Killian Hayes,Detroit Pistons,2020,7
Obi Toppin,New York Knicks,2020,8
Deni Avdija,Washington Wizards,2020,9
Jalen Smith,Phoenix Suns,2020,10
Devin Vassell,San Antonio Spurs,2020,11
Tyrese Haliburton,Sacramento Kings,2020,12
