Name,Team,CoI
Alaa Abdelnaby,POR,USA
Zaid Abdul-Aziz,HOU,USA
Kareem Abdul-Jabbar,LAL,USA
Mahmoud Abdul-Rauf,DEN,USA
Tariq Abdul-Wahad,SAC,France
Shareef Abdur-Rahim,MEM,USA
Tom Abernethy,GSW,USA
Forest Able,PHI,USA
John Abramovic,NONE,USA
Alex Abrines,OKC,Spain
Precious Achiuwa,NYK,Nigeria
Alex Acker,LAC,USA
Donald Ackerman,NYK,USA
Mark Acres,ORL,USA
Charles Acton,HOU,USA
Quincy Acy,SAC,USA
Alvan Adams,PHX,USA
Don Adams,DET,USA
Hassan Adams,BKN,USA
Jaylen Adams,ATL,USA
Jordan Adams,MEM,USA
Michael Adams,DEN,USA
Steven Adams,HOU,New Zealand
Rafael Addison,BKN,USA
Bam Adebayo,MIA,USA
Deng Adel,CLE,South Sudan
Rick Adelman,POR,USA
Jeff Adrien,CHA,USA
Arron Afflalo,DEN,USA
Ochai Agbaji,TOR,USA
Maurice Ager,DAL,USA
Mark Aguirre,DAL,USA
Blake Ahearn,MIA,USA
Danny Ainge,BOS,USA
Alexis Ajinca,NOP,France
Henry Akin,NYK,USA
Josh Akognon,DAL,USA
DeVaughn Akoon-Purcell,DEN,Trinidad and Tobago
Solomon Alabi,TOR,Nigeria
Mark Alarie,WAS,USA
Gary Alcorn,DET,USA
Santi Aldama,MEM,Spain
Furkan Aldemir,PHI,Turkey
Cole Aldrich,NYK,USA
LaMarcus Aldridge,BKN,USA
Chuck Aleksinas,GSW,USA
Cliff Alexander,POR,USA
Cory Alexander,SAS,USA
Courtney Alexander,WAS,USA
Gary Alexander,CLE,USA
Joe Alexander,MIL,USA
Kyle Alexander,MIA,Canada
Ty-Shon Alexander,PHX,USA
Victor Alexander,GSW,USA
Nickeil Alexander-Walker,MIN,Canada
Steve Alford,DAL,USA
Rawle Alkins,CHI,USA
Bob Allen,GSW,USA
Grayson Allen,PHX,USA
Jarrett Allen,CLE,USA
Jerome Allen,IND,USA
Kadeem Allen,NYK,USA
Lavoy Allen,IND,USA
Lucius Allen,MIL,USA
Malik Allen,MIA,USA
Randy Allen,SAC,USA
Ray Allen,MIL,USA
Tony Allen,MEM,USA
Odis Allison,GSW,USA
Lance Allred,CLE,USA
Darrell Allums,DAL,USA
Morris Almond,UTA,USA
Derrick Alston,PHI,USA
Rafer Alston,HOU,USA
Peter Aluma,SAC,USA
Jose Alvarado,NOP,USA
John Amaechi,ORL,United Kingdom
Ashraf Amaya,MEM,USA
Al-Farouq Aminu,POR,USA
Lou Amundson,PHX,USA
Bob Anderegg,NYK,USA
Chris Andersen,DEN,USA
David Andersen,HOU,Australia
Alan Anderson,BKN,USA
Antonio Anderson,OKC,USA
Cliff Anderson,LAL,USA
Daniel Anderson,POR,USA
Derek Anderson,POR,USA
Dwight Anderson,DEN,USA
Eric Anderson,NYK,USA
Greg Anderson,SAS,USA
James Anderson,SAS,USA
Jerome Anderson,IND,USA
Justin Anderson,IND,USA
Kenny Anderson,BKN,USA
Kim Anderson,POR,USA
Kyle Anderson,MIN,USA
Michael Anderson,SAS,USA
Mitchell Anderson,UTA,USA
Nick Anderson,ORL,USA
Richard Anderson,POR,USA
Ron Anderson,PHI,USA
Ryan Anderson,NOP,USA
Shandon Anderson,NYK,USA
Willie Anderson,SAS,USA
Wally Anderzunas,SAC,USA
Martynas Andriuskevicius,CLE,Lithuania
Don Anielak,NYK,USA
Ike Anigbogu,IND,USA
Michael Ansley,ORL,USA
Chris Anstey,DAL,Australia
Giannis Antetokounmpo,MIL,Greece
Kostas Antetokounmpo,CHI,Greece
Thanasis Antetokounmpo,MIL,Greece
