,Name,CoI
0,Joel Embiid,Cameroon
1,Giannis Antetokounmpo,Greece
2,Giannis Antetokounmpo,Greece
3,James Harden,USA
4,Russell Westbrook,USA
5,Stephen Curry,USA
6,Stephen Curry,USA
7,Kevin Durant,USA
8,LeBron James,USA
9,LeBron James,USA
10,LeBron James,USA
11,LeBron James,USA
12,Derrick Rose,USA
13,Kobe Bryant,USA
14,Dirk Nowitzki,Germany
15,Steve Nash,Canada
16,Steve Nash,Canada
17,Kevin Garnett,USA
18,Tim Duncan,US Virgin Islands
19,Tim Duncan,US Virgin Islands
20,Allen Iverson,USA
21,Shaquille O'Neal,USA
22,Karl Malone,USA
23,Karl Malone,USA
24,Michael Jordan,USA
25,Michael Jordan,USA
26,Michael Jordan,USA
27,Michael Jordan,USA
28,Michael Jordan,USA
29,David Robinson,USA
30,Hakeem Olajuwon,Nigeria
31,Charles Barkley,USA
32,Magic Johnson,USA
33,Magic Johnson,USA
34,Magic Johnson,USA
35,Larry Bird,USA
36,Larry Bird,USA
37,Larry Bird,USA
38,Moses Malone,USA
39,Moses Malone,USA
40,Moses Malone,USA
41,Julius Erving,USA
42,Kareem Abdul-Jabbar,USA
43,Kareem Abdul-Jabbar,USA
44,Kareem Abdul-Jabbar,USA
45,Kareem Abdul-Jabbar,USA
46,Kareem Abdul-Jabbar,USA
47,Kareem Abdul-Jabbar,USA
48,Bill Walton,USA
49,Bob McAdoo,USA
50,Dave Cowens,USA
51,Willis Reed,USA
52,Wes Unseld,USA
53,Wilt Chamberlain,USA
54,Wilt Chamberlain,USA
55,Wilt Chamberlain,USA
56,Wilt Chamberlain,USA
57,Bill Russell,USA
58,Bill Russell,USA
59,Bill Russell,USA
60,Bill Russell,USA
61,Bill Russell,USA
62,Oscar Robertson,USA
63,Bob Pettit,USA
64,Bob Pettit,USA
65,Bob Cousy,USA
