Year,CoI
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,US Virgin Islands
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,Germany
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,Serbia
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,Canada
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,Serbia
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,Nigeria
2000-01,Lithuania
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,Croatia
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,Lithuania
2000-01,USA
2000-01,USA
2000-01,Congo
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
2000-01,USA
