,Player,Team
0,Joel Embiid,PHI
1,Nikola Jokić,DEN
2,Nikola Jokić,DEN
3,Giannis Antetokounmpo,MIL
4,Giannis Antetokounmpo,MIL
5,James Harden,HOU
6,Russell Westbrook,OKC
7,Stephen Curry,GSW
8,Stephen Curry,GSW
9,Kevin Durant,OKC
10,LeBron James,MIA
11,LeBron James,MIA
12,Derrick Rose,CHI
13,LeBron James,CLE
14,LeBron James,CLE
15,Kobe Bryant,LAL
16,Dirk Nowitzki,DAL
17,Steve Nash,PHO
18,Steve Nash,PHO
19,Kevin Garnett,MIN
20,Tim Duncan,SAS
21,Tim Duncan,SAS
22,Allen Iverson,PHI
23,Shaquille O'Neal,LAL
24,Karl Malone,UTA
25,Michael Jordan,CHI
26,Karl Malone,UTA
27,Michael Jordan,CHI
28,David Robinson,SAS
29,Hakeem Olajuwon,HOU
30,Charles Barkley,PHO
31,Michael Jordan,CHI
32,Michael Jordan,CHI
33,Magic Johnson,LAL
34,Magic Johnson,LAL
35,Michael Jordan,CHI
36,Magic Johnson,LAL
37,Larry Bird,BOS
38,Larry Bird,BOS
39,Larry Bird,BOS
40,Moses Malone,PHI
41,Moses Malone,HOU
42,Julius Erving,PHI
43,Kareem Abdul-Jabbar,LAL
44,Moses Malone,HOU
45,Bill Walton,POR
46,Kareem Abdul-Jabbar,LAL
47,Kareem Abdul-Jabbar,LAL
48,Bob McAdoo,BUF
49,Kareem Abdul-Jabbar,MIL
50,Dave Cowens,BOS
51,Kareem Abdul-Jabbar,MIL
52,Kareem Abdul-Jabbar,MIL
53,Willis Reed,NYK
54,Wes Unseld,BAL
55,Wilt Chamberlain,PHI
56,Wilt Chamberlain,PHI
57,Wilt Chamberlain,PHI
58,Bill Russell,BOS
59,Oscar Robertson,CIN
60,Bill Russell,BOS
61,Bill Russell,BOS
62,Bill Russell,BOS
63,Wilt Chamberlain,PHW
64,Bob Pettit,STL
65,Bill Russell,BOS
66,Bob Cousy,BOS
67,Bob Pettit,STL
