Year,Name,Team,Points
1996-97,Michael Jordan,CHI,590
1996-97,Karl Malone,UTA,519
1996-97,Hakeem Olajuwon,HOU,370
1996-97,Scottie Pippen,CHI,365
1996-97,John Stockton,UTA,322
1996-97,Tim Hardaway,MIA,318
1996-97,Alonzo Mourning,MIA,303
1996-97,Jeff Hornacek,UTA,291
1996-97,Clyde Drexler,HOU,290
1996-97,Charles Barkley,HOU,286
1996-97,Gary Payton,SEA,285
1996-97,Shawn Kemp,SEA,259
1996-97,Bryon Russell,UTA,245
1996-97,Shaquille O'Neal,LAL,242
1996-97,Detlef Schrempf,SEA,203
1996-97,Patrick Ewing,NYK,203
1996-97,Voshon Lenard,MIA,194
1996-97,Steven Smith,ATL,189
1996-97,Mario Elie,HOU,184
1996-97,Hersey Hawkins,SEA,183
1996-97,Matt Maloney,HOU,179
1996-97,Jamal Mashburn,MIA,178
1996-97,Christian Laettner,ATL,176
1996-97,Allan Houston,NYK,173
1996-97,Mookie Blaylock,ATL,164
1996-97,Anfernee Hardaway,ORL,155
1996-97,Dikembe Mutombo,ATL,154
1996-97,Toni Kukoc,CHI,150
1996-97,Ron Harper,CHI,142
1996-97,Dan Majerle,MIA,136
1996-97,Eddie Johnson,HOU,133
1996-97,Nick Van Exel,LAL,130
1996-97,John Starks,NYK,126
1996-97,Larry Johnson,NYK,124
1996-97,Luc Longley,CHI,124
1996-97,P.J. Brown,MIA,122
1996-97,Rex Chapman,PHX,121
1996-97,Grant Hill,DET,118
1996-97,Bison Dele,CHI,116
1996-97,Howard Eisley,UTA,112
1996-97,Elden Campbell,LAL,106
1996-97,Terry Cummings,SEA,106
1996-97,Tyrone Corbin,ATL,106
1996-97,Chris Childs,NYK,104
1996-97,Kevin Willis,HOU,102
1996-97,Eddie Jones,LAL,101
1996-97,Sam Perkins,SEA,101
1996-97,Antoine Carr,UTA,98
1996-97,Charles Oakley,NYK,98
1996-97,Ike Austin,MIA,98
1996-97,Steve Kerr,CHI,95
1996-97,Greg Ostertag,UTA,94
1996-97,Greg Foster,UTA,84
1996-97,Kevin Johnson,PHX,84
1996-97,Glen Rice,CHH,83
1996-97,Shandon Anderson,UTA,83
1996-97,Dennis Rodman,CHI,79
1996-97,Rasheed Wallace,POR,79
1996-97,Wesley Person,PHX,78
1996-97,David Wingate,SEA,77
1996-97,Lindsey Hunter,DET,75
1996-97,Kobe Bryant,LAL,74
1996-97,Joe Dumars,DET,69
1996-97,Kenny Anderson,POR,68
1996-97,Danny Manning,PHX,66
1996-97,Stephon Marbury,MIN,64
1996-97,Derek Strong,ORL,61
1996-97,Jason Kidd,PHX,60
1996-97,Robert Horry,LAL,60
1996-97,Rod Strickland,WAS,59
1996-97,Sedale Threatt,HOU,59
1996-97,Terry Mills,DET,59
1996-97,Alan Henderson,ATL,58
1996-97,Chris Morris,UTA,57
1996-97,Darrell Armstrong,ORL,57
1996-97,Juwan Howard,WAS,56
1996-97,Tom Gugliotta,MIN,55
1996-97,Tracy Murray,WAS,55
1996-97,Vlade Divac,CHH,54
1996-97,Isaiah Rider,POR,53
1996-97,Kevin Garnett,MIN,52
1996-97,Byron Scott,LAL,51
1996-97,Jerome Kersey,LAL,49
1996-97,Otis Thorpe,DET,49
1996-97,Clifford Robinson,POR,48
1996-97,Chris Webber,WAS,47
1996-97,Gerald Wilkins,ORL,47
1996-97,Arvydas Sabonis,POR,45
1996-97,Calbert Cheaney,WAS,45
1996-97,Loy Vaught,LAC,45
1996-97,Buck Williams,NYK,43
1996-97,Jason Caffey,CHI,41
1996-97,Anthony Mason,CHH,39
1996-97,Dean Garrett,MIN,38
1996-97,John Crotty,MIA,37
1996-97,Malik Sealy,LAC,36
1996-97,Brent Barry,LAC,35
1996-97,Cedric Ceballos,PHX,33
1996-97,Darrick Martin,LAC,33
1996-97,Doug West,MIN,33
1996-97,Jud Buechler,CHI,33
1996-97,Willie Anderson,MIA,33
1996-97,Gary Trent,POR,32
1996-97,Muggsy Bogues,CHH,32
1996-97,Rodney Rogers,LAC,32
1996-97,Eldridge Recasner,ATL,31
1996-97,Lorenzen Wright,LAC,31
1996-97,Tony Delk,CHH,31
1996-97,Keith Askins,MIA,30
1996-97,Nick Anderson,ORL,28
1996-97,Grant Long,DET,25
1996-97,Ricky Pierce,CHH,23
1996-97,Dan Schayes,ORL,22
