Year,Name,Team,Offensive Rating,Defensive Rating,Net Rating
1996-97,A.C. Green,DAL,97.4,104.8,-7.4
1996-97,Aaron McKie,DET,101.5,97.8,3.7
1996-97,Michael Finley,DAL,99.2,104.7,-5.4
1996-97,Antoine Carr,UTA,106.5,103.2,3.3
1996-97,Antoine Walker,BOS,103.0,111.4,-8.4
1996-97,Antonio Davis,IND,102.6,99.3,3.3
1996-97,Bo Outlaw,LAC,104.4,100.3,4.1
1996-97,Bob Sura,CLE,99.5,99.7,-0.2
1996-97,Chris Whitney,WAS,98.7,97.7,1.0
1996-97,Christian Laettner,ATL,108.1,97.6,10.5
1996-97,Clar. Weatherspoon,PHI,101.0,109.5,-8.5
1996-97,Dale Ellis,DEN,101.3,109.7,-8.3
1996-97,Danny Ferry,CLE,103.9,101.6,2.3
1996-97,Darrick Martin,LAC,105.5,108.9,-3.4
1996-97,Derek Strong,ORL,100.8,101.5,-0.7
1996-97,Elliot Perry,MIL,102.3,103.5,-1.2
1996-97,Ervin Johnson,DEN,102.9,108.4,-5.6
1996-97,Gary Payton,SEA,110.1,99.8,10.2
1996-97,Gary Trent,POR,105.5,103.9,1.6
1996-97,Greg Anderson,SAS,96.8,111.2,-14.3
1996-97,Hersey Hawkins,SEA,109.7,99.7,10.0
1996-97,Howard Eisley,UTA,104.7,101.3,3.3
1996-97,Ike Austin,MIA,103.2,99.6,3.5
1996-97,Jeff Hornacek,UTA,115.9,100.2,15.7
1996-97,Jim McIlvaine,SEA,106.9,97.7,9.3
1996-97,John Stockton,UTA,114.1,101.7,12.3
1996-97,Johnny Newman,MIL,104.5,104.2,0.4
1996-97,Juwan Howard,WAS,105.2,103.9,1.3
1996-97,Karl Malone,UTA,115.0,101.3,13.8
1996-97,Kendall Gill,NJN,102.6,105.9,-3.2
1996-97,Kenny Anderson,POR,107.6,102.3,5.3
1996-97,Kerry Kittles,NJN,102.5,106.9,-4.4
1996-97,Lindsey Hunter,DET,109.0,104.6,4.4
1996-97,Loy Vaught,LAC,101.0,108.6,-7.6
1996-97,Mark Jackson,IND,105.0,106.4,-1.4
1996-97,Matt Maloney,HOU,109.0,102.3,6.7
1996-97,Michael Cage,PHI,96.4,109.2,-12.8
1996-97,Michael Jordan,CHI,113.9,100.1,13.7
1996-97,Olden Polynice,SAC,103.0,106.3,-3.2
1996-97,Ray Allen,MIL,105.4,106.4,-1.0
1996-97,Rod Strickland,WAS,106.5,104.9,1.5
1996-97,Roy Rogers,VAN,98.0,111.6,-13.6
1996-97,Sam Mitchell,MIN,99.8,104.8,-5.0
1996-97,Scottie Pippen,CHI,113.4,99.7,13.7
1996-97,Steve Kerr,CHI,109.4,99.5,9.9
1996-97,Terry Porter,MIN,101.2,99.9,1.3
1996-97,Tracy Murray,WAS,103.3,102.0,1.4
1996-97,Allan Houston,NYK,101.3,99.4,2.0
1996-97,Bryon Russell,UTA,115.7,101.1,14.6
1996-97,Chris Dudley,POR,100.2,100.5,-0.3
1996-97,Clifford Robinson,POR,106.9,102.3,4.6
1996-97,Damon Stoudamire,TOR,103.4,106.7,-3.3
1996-97,Doug Christie,TOR,103.7,105.7,-2.1
1996-97,Jerry Stackhouse,PHI,103.0,110.0,-7.0
1996-97,Michael Curry,DET,100.6,96.4,4.2
1996-97,Michael Smith,SAC,103.4,105.1,-1.7
1996-97,Mitch Richmond,SAC,103.4,105.9,-2.6
1996-97,Reggie Miller,IND,104.6,103.1,1.5
1996-97,Rodney Rogers,LAC,103.7,106.7,-3.0
1996-97,Sam Perkins,SEA,109.6,98.8,10.8
1996-97,Shawn Kemp,SEA,109.4,100.7,8.7
1996-97,Tim Hardaway,MIA,106.6,97.3,9.3
1996-97,Todd Day,BOS,103.7,110.1,-6.4
1996-97,Tom Gugliotta,MIN,102.9,105.6,-2.6
1996-97,Tom Hammonds,DEN,102.5,108.7,-6.2
1996-97,Vlade Divac,CHH,110.2,104.9,5.3
1996-97,Armen Gilliam,MIL,101.9,105.4,-3.5
1996-97,Charles Oakley,NYK,101.1,98.8,2.3
1996-97,Chris Mills,CLE,103.7,99.9,3.8
1996-97,Cory Alexander,SAS,100.3,110.7,-10.4
1996-97,Dale Davis,IND,103.3,102.5,0.8
1996-97,Derek Fisher,LAL,96.7,93.7,3.0
1996-97,Dikembe Mutombo,ATL,105.0,96.9,8.1
1996-97,Eddie Jones,LAL,106.2,101.9,4.3
1996-97,Gerald Wilkins,ORL,99.9,105.4,-5.5
1996-97,Glenn Robinson,MIL,104.2,106.7,-2.5
1996-97,Grant Hill,DET,109.2,102.3,7.0
1996-97,Joe Smith,GSW,106.6,110.3,-3.7
1996-97,Latrell Sprewell,GSW,106.0,109.5,-3.4
1996-97,Lee Mayberry,VAN,98.2,108.6,-10.5
1996-97,Malik Sealy,LAC,99.8,107.4,-7.6
1996-97,P.J. Brown,MIA,104.4,96.4,7.9
1996-97,Shareef Abdur-Rahim,VAN,99.1,110.4,-11.3
1996-97,Vitaly Potapenko,CLE,94.1,95.2,-1.2
1996-97,Wesley Person,PHX,106.7,105.1,1.7
1996-97,Byron Scott,LAL,106.2,100.3,5.9
1996-97,Calbert Cheaney,WAS,106.1,104.4,1.7
1996-97,Charlie Ward,NYK,103.1,100.2,3.0
1996-97,Chris Mullin,GSW,105.0,110.2,-5.3
1996-97,Corliss Williamson,SAC,103.1,107.4,-4.3
1996-97,Glen Rice,CHH,110.0,107.1,2.9
1996-97,Greg Foster,UTA,102.0,101.8,0.2
1996-97,Joe Dumars,DET,109.3,103.8,5.5
1996-97,Nick Van Exel,LAL,108.5,104.7,3.7
1996-97,Otis Thorpe,DET,108.7,102.6,6.1
1996-97,Popeye Jones,TOR,103.3,105.8,-2.5
1996-97,Sherman Douglas,MIL,105.1,107.6,-2.6
1996-97,Terry Mills,DET,111.3,99.2,12.2
1996-97,Tony Massenburg,NJN,101.1,107.3,-6.3
1996-97,Eric Montross,NJN,99.7,105.6,-5.9
1996-97,Hakeem Olajuwon,HOU,108.2,101.2,7.0
1996-97,Harvey Grant,WAS,101.8,100.2,1.6
1996-97,Keith Askins,MIA,103.6,98.6,4.9
1996-97,Mario Elie,HOU,108.7,102.4,6.3
1996-97,Mookie Blaylock,ATL,109.2,98.8,10.4
1996-97,Patrick Ewing,NYK,103.5,98.0,5.5
1996-97,Terrell Brandon,CLE,104.8,102.4,2.4
1996-97,Vin Baker,MIL,105.8,106.6,-0.8
1996-97,Brian Shaw,ORL,97.7,107.3,-9.6
1996-97,Danny Manning,PHX,108.2,105.2,3.0
1996-97,Elden Campbell,LAL,105.7,102.2,3.5
1996-97,Greg Ostertag,UTA,116.3,99.2,17.1
1996-97,Jim Jackson,NJN,100.6,108.4,-7.8
1996-97,John Starks,NYK,103.1,97.9,5.2
1996-97,Kevin Garnett,MIN,104.3,102.2,2.1
1996-97,Lorenzen Wright,LAC,103.2,107.5,-4.2
1996-97,Allen Iverson,PHI,104.3,111.4,-7.1
1996-97,Avery Johnson,SAS,101.3,109.8,-8.5
1996-97,Cherokee Parks,MIN,103.0,102.4,0.6
1996-97,Isaiah Rider,POR,107.7,103.8,3.9
1996-97,Jerome Allen,DEN,100.1,102.2,-2.1
1996-97,Jud Buechler,CHI,102.1,97.5,4.6
1996-97,Larry Johnson,NYK,103.2,99.7,3.5
1996-97,Rick Fox,BOS,103.0,109.1,-6.1
1996-97,Ron Harper,CHI,111.0,98.5,12.5
1996-97,Theo Ratliff,DET,107.8,101.4,6.4
1996-97,Travis Best,IND,102.8,99.6,3.1
1996-97,Bryant Reeves,VAN,99.4,109.4,-10.0
1996-97,Carl Herrera,SAS,98.8,108.1,-9.3
1996-97,Derek Harper,DAL,100.0,106.7,-6.7
1996-97,Jaren Jackson,WAS,99.3,97.6,1.6
1996-97,Jason Caffey,CHI,109.7,101.7,7.9
1996-97,Kevin Willis,HOU,103.3,102.5,0.8
1996-97,Mahmoud Abdul-Rauf,SAC,102.6,107.6,-5.1
1996-97,Mark Davis,PHI,100.9,108.7,-7.8
1996-97,Todd Fuller,GSW,104.1,112.6,-8.5
1996-97,Antonio McDyess,DEN,101.0,107.9,-6.9
1996-97,Buck Williams,NYK,101.8,96.4,5.5
1996-97,David Wesley,BOS,103.2,109.6,-6.5
1996-97,Lamond Murray,LAC,103.1,103.7,-0.6
1996-97,Marty Conlon,BOS,103.1,110.7,-7.5
1996-97,Rony Seikaly,ORL,105.2,106.0,-0.8
1996-97,Tyrone Hill,CLE,104.3,98.7,5.6
1996-97,Anthony Mason,CHH,108.7,106.7,2.0
1996-97,Chris Morris,UTA,100.5,107.5,-7.0
1996-97,Felton Spencer,GSW,106.1,106.8,-0.7
1996-97,Gheorghe Muresan,WAS,106.3,99.8,6.5
1996-97,Shawn Bradley,DAL,97.4,102.8,-5.4
1996-97,Terry Dehere,LAC,102.1,101.8,0.2
1996-97,Voshon Lenard,MIA,106.4,98.2,8.2
1996-97,Walt Williams,TOR,104.7,105.8,-1.0
1996-97,Anthony Peeler,VAN,97.8,108.0,-10.2
1996-97,Chris Webber,WAS,105.8,103.0,2.8
1996-97,Eric Williams,BOS,102.8,109.4,-6.6
1996-97,Erick Dampier,IND,97.2,99.8,-2.6
1996-97,Ivano Newbill,ATL,102.4,101.0,1.5
1996-97,Randy Brown,CHI,106.8,97.3,9.5
1996-97,Steven Smith,ATL,107.2,100.1,7.1
1996-97,Vernon Maxwell,SAS,100.2,107.9,-7.8
1996-97,Vinny Del Negro,SAS,103.9,112.2,-8.3
1996-97,Andrew DeClercq,GSW,101.3,106.0,-4.7
1996-97,Eldridge Recasner,ATL,99.6,101.0,-1.3
1996-97,Kobe Bryant,LAL,101.9,99.9,1.9
1996-97,Matt Bullard,HOU,105.5,104.7,0.8
1996-97,Travis Knight,LAL,105.3,99.6,5.8
1996-97,Brett Szabo,BOS,96.6,107.7,-11.1
1996-97,Chucky Brown,MIL,103.3,107.7,-4.4
1996-97,Jerome Kersey,LAL,104.8,100.5,4.3
1996-97,Kevin Johnson,PHX,110.4,107.6,2.8
1996-97,Larry Stewart,SEA,106.4,100.6,5.8
1996-97,Mark Price,GSW,106.2,109.4,-3.2
1996-97,Mark West,CLE,97.6,95.0,2.6
1996-97,Tyrone Corbin,ATL,106.2,96.3,9.9
1996-97,Tyus Edney,SAC,101.2,103.6,-2.4
1996-97,Arvydas Sabonis,POR,109.7,99.8,9.9
1996-97,Bobby Phills,CLE,102.1,99.1,3.0
1996-97,Jamal Mashburn,MIA,103.3,101.5,1.8
1996-97,James Robinson,MIN,104.7,107.9,-3.2
1996-97,Sean Rooks,LAL,97.9,97.9,0.0
1996-97,Tony Smith,CHH,107.8,107.3,0.5
1996-97,Dean Garrett,MIN,104.9,104.3,0.5
1996-97,Dell Curry,CHH,108.2,106.6,1.6
1996-97,Doug West,MIN,101.8,105.6,-3.8
1996-97,Hot Rod Williams,PHX,108.5,105.0,3.6
1996-97,John Wallace,NYK,98.4,96.6,1.8
1996-97,Brooks Thompson,DEN,104.4,110.4,-6.0
1996-97,Darrell Armstrong,ORL,101.1,100.1,1.0
1996-97,Eric Snow,SEA,99.5,101.3,-1.8
1996-97,Horace Grant,ORL,104.0,102.1,1.9
1996-97,Lawrence Moten,VAN,97.6,107.4,-9.9
1996-97,Stephon Marbury,MIN,104.2,107.6,-3.4
1996-97,Alonzo Mourning,MIA,106.7,95.6,11.2
1996-97,Billy Owens,SAC,102.3,105.0,-2.7
1996-97,Dennis Scott,ORL,105.0,102.4,2.6
1996-97,Jalen Rose,IND,101.4,99.9,1.5
1996-97,Chris Childs,NYK,101.8,97.4,4.5
1996-97,David Wingate,SEA,104.6,103.1,1.4
1996-97,Eric Piatkowski,LAC,105.9,102.4,3.6
1996-97,Grant Long,DET,105.0,100.8,4.2
1996-97,Greg Anthony,VAN,99.0,107.5,-8.5
1996-97,Monty Williams,SAS,97.9,103.4,-5.6
1996-97,Muggsy Bogues,CHH,111.7,105.8,5.9
1996-97,Rex Chapman,PHX,109.6,107.0,2.6
1996-97,Shandon Anderson,UTA,109.0,106.7,2.4
1996-97,Steve Nash,PHX,101.9,108.9,-7.0
1996-97,Will Perdue,SAS,104.1,109.1,-5.0
1996-97,Antonio Lang,CLE,95.7,96.0,-0.2
1996-97,Ed O'Bannon,DAL,97.5,103.7,-6.2
1996-97,George McCloud,LAL,101.9,104.9,-3.0
1996-97,Randy Livingston,HOU,101.8,101.3,0.5
1996-97,Dominique Wilkins,SAS,102.9,114.3,-11.3
1996-97,Khalid Reeves,DAL,97.9,107.0,-9.0
1996-97,Marcus Camby,TOR,103.6,104.3,-0.7
1996-97,Nick Anderson,ORL,106.2,102.2,4.0
1996-97,Adam Keefe,UTA,106.6,99.4,7.2
1996-97,Clyde Drexler,HOU,108.4,100.5,7.9
1996-97,Craig Ehlo,SEA,103.6,98.1,5.5
1996-97,Donald Royal,CHH,100.5,106.6,-6.1
1996-97,Duane Ferrell,IND,103.3,100.3,3.1
1996-97,Kevin Gamble,SAC,101.6,107.3,-5.7
1996-97,Rasheed Wallace,POR,107.6,98.7,9.0
1996-97,Scott Williams,PHI,100.9,105.2,-4.3
1996-97,Xavier McDaniel,NJN,102.5,102.4,0.0
1996-97,Bill Wennington,CHI,108.0,99.9,8.0
1996-97,Blue Edwards,VAN,97.4,108.6,-11.2
1996-97,Detlef Schrempf,SEA,111.2,99.1,12.1
1996-97,Donyell Marshall,GSW,101.2,109.7,-8.5
1996-97,Doug Overton,PHI,100.4,101.8,-1.4
1996-97,Oliver Miller,TOR,103.6,103.5,0.1
1996-97,Sam Cassell,NJN,103.5,105.3,-1.8
1996-97,Tony Delk,CHH,106.5,106.3,0.2
1996-97,Anthony Goldwire,DEN,101.5,104.4,-2.9
1996-97,Ricky Pierce,CHH,107.2,108.5,-1.3
1996-97,Sharone Wright,TOR,94.6,104.6,-10.0
1996-97,Stacey Augmon,POR,103.6,97.6,6.0
1996-97,Anfernee Hardaway,ORL,107.0,102.5,4.5
1996-97,Brent Barry,LAC,107.9,104.6,3.3
1996-97,Joe Kleine,NJN,96.8,105.4,-8.6
1996-97,Luc Longley,CHI,110.8,100.3,10.6
1996-97,Pooh Richardson,LAC,97.8,101.7,-4.0
1996-97,Rex Walters,PHI,98.6,108.5,-9.9
1996-97,Corie Blount,LAL,100.7,100.2,0.6
1996-97,Jon Barry,ATL,102.5,97.0,5.5
1996-97,Derrick Coleman,PHI,102.1,107.7,-5.6
1996-97,Othella Harrington,HOU,101.1,99.8,1.3
1996-97,Ray Owes,GSW,97.7,105.6,-7.9
1996-97,Scott Burrell,GSW,104.2,102.5,1.7
1996-97,Toni Kukoc,CHI,113.2,98.2,15.0
1996-97,Carlos Rogers,TOR,98.9,103.7,-4.7
1996-97,Donny Marshall,CLE,92.7,104.1,-11.4
1996-97,Joe Wolf,MIL,101.2,104.5,-3.3
1996-97,Sasha Danilovic,DAL,99.3,97.5,1.9
1996-97,Chris Carr,MIN,103.0,100.1,2.9
1996-97,Dennis Rodman,CHI,115.2,99.2,16.0
1996-97,Jason Kidd,PHX,109.2,107.0,2.1
1996-97,LaPhonso Ellis,DEN,106.5,111.2,-4.7
1996-97,Loren Meyer,PHX,97.7,104.6,-6.9
1996-97,Lucious Harris,PHI,97.7,102.3,-4.6
1996-97,Malik Rose,CHH,105.8,103.7,2.1
1996-97,Pete Chilcutt,VAN,96.7,112.0,-15.3
1996-97,Robert Horry,LAL,105.7,102.6,3.1
1996-97,Robert Pack,DAL,97.7,105.3,-7.6
1996-97,Rumeal Robinson,POR,102.0,99.8,2.2
1996-97,Alton Lister,BOS,98.2,108.9,-10.7
1996-97,Charles Barkley,HOU,109.7,101.7,8.0
1996-97,Henry James,ATL,107.5,106.1,1.4
1996-97,Stojko Vrankovic,MIN,98.8,108.1,-9.3
1996-97,Wayman Tisdale,PHX,104.4,108.3,-3.9
1996-97,Andrew Lang,MIL,104.1,105.0,-0.9
1996-97,Bryant Stith,DEN,102.0,106.7,-4.7
1996-97,Eddie Johnson,HOU,103.4,100.3,3.0
1996-97,George Zidek,DEN,99.7,113.1,-13.3
1996-97,Rik Smits,IND,107.5,104.6,2.8
1996-97,Sam Mack,HOU,98.6,99.4,-0.8
1996-97,Bimbo Coles,GSW,104.3,111.0,-6.7
1996-97,Shaquille O'Neal,LAL,109.2,101.7,7.5
1996-97,Cedric Ceballos,PHX,109.6,106.4,3.2
1996-97,Derrick McKey,IND,101.8,101.7,0.1
1996-97,B.J. Armstrong,GSW,102.0,109.8,-7.8
1996-97,Bobby Hurley,SAC,101.3,103.8,-2.6
1996-97,Matt Geiger,CHH,106.0,104.8,1.2
1996-97,Mitchell Butler,POR,96.2,93.1,3.1
1996-97,Stephen Howard,UTA,101.7,101.6,0.1
1996-97,Dickey Simpkins,CHI,102.3,102.5,-0.2
1996-97,John Crotty,MIA,96.5,99.4,-2.9
1996-97,Kenny Smith,DEN,99.2,113.7,-14.5
1996-97,Acie Earl,MIL,93.6,100.0,-6.4
1996-97,Chris Gatling,NJN,101.6,105.3,-3.7
1996-97,Don Reid,DET,96.0,101.2,-5.2
1996-97,Dontonio Wingfield,POR,101.1,99.8,1.3
1996-97,Fred Hoiberg,IND,102.8,99.2,3.6
1996-97,David Wood,MIL,95.2,97.0,-1.8
1996-97,Duane Causwell,SAC,95.5,106.9,-11.4
1996-97,Adrian Caldwell,PHI,101.8,108.3,-6.5
1996-97,Dan Schayes,ORL,97.5,97.7,-0.2
1996-97,Jermaine O'Neal,POR,97.9,96.7,1.2
1996-97,Litterial Green,DET,96.8,86.7,10.1
1996-97,Terry Cummings,SEA,108.2,105.3,2.9
1996-97,Robert Parish,CHI,111.8,97.2,14.6
1996-97,Samaki Walker,DAL,96.6,108.1,-11.5
1996-97,Shane Heal,MIN,101.0,98.4,2.6
1996-97,Vincent Askew,DEN,98.9,99.1,-0.2
1996-97,Clifford Rozier,TOR,102.3,108.3,-5.9
1996-97,Martin Muursepp,DAL,91.0,104.4,-13.4
1996-97,Chris Robinson,VAN,100.7,111.9,-11.2
1996-97,George Lynch,VAN,95.6,104.7,-9.1
1996-97,Jamie Feick,SAS,101.6,111.9,-10.3
1996-97,Jayson Williams,NJN,97.8,106.7,-8.9
1996-97,Lionel Simmons,SAC,82.6,104.4,-21.8
1996-97,Mark Bryant,PHX,109.2,105.7,3.5
1996-97,Rafael Addison,CHH,103.3,107.9,-4.6
1996-97,Shawn Respert,TOR,97.6,102.7,-5.1
1996-97,Yinka Dare,NJN,103.1,102.6,0.5
1996-97,Greg Dreiling,DAL,96.5,99.7,-3.3
1996-97,Reggie Geary,CLE,92.8,89.3,3.5
1996-97,Sean Elliott,SAS,102.9,109.3,-6.4
1996-97,Scott Brooks,NYK,96.2,93.2,3.0
1996-97,Don MacLean,PHI,104.2,109.9,-5.6
1996-97,Nate McMillan,SEA,109.5,94.6,15.0
1996-97,Dan Majerle,MIA,103.7,98.7,5.0
1996-97,Darvin Ham,IND,97.4,98.3,-1.0
1996-97,Hubert Davis,TOR,101.3,105.0,-3.7
1996-97,Mark Bradtke,PHI,96.9,97.4,-0.5
1996-97,David Vaughn,ORL,88.0,94.0,-6.0
1996-97,Priest Lauderdale,ATL,99.5,102.1,-2.6
1996-97,Steve Hamer,BOS,104.7,102.8,2.0
1996-97,Walter McCarty,NYK,92.1,90.6,1.5
1996-97,Ben Wallace,WAS,90.3,96.0,-5.7
1996-97,Aaron Williams,VAN,93.3,102.6,-9.3
1996-97,Jerome Williams,DET,94.5,99.2,-4.7
1996-97,John Long,TOR,92.4,100.4,-8.0
1996-97,Kevin Edwards,NJN,97.5,105.7,-8.2
1996-97,Ashraf Amaya,WAS,87.5,100.6,-13.1
1996-97,Mark Strickland,MIA,93.0,112.7,-19.8
1996-97,Alan Henderson,ATL,104.8,112.4,-7.5
